Timestamp,Permanent SKU,Item Number,Storage Location,Item Name,Brand,Category,Size,Color,Pattern,Style Features,Material,Country of Manufacture,Condition,Condition Notes,Cost of Goods,90 Day eBay Sold Count,Current eBay Active Count,90 Day Sell-Through Rate,Sold Comp Low,Realistic Sold Value,Sold Comp High,Market Range,Inventory Status,Listing Platforms,Department,SEO Listing Title,SEO Listing Description,Style Tag 1,Style Tag 2,Style Tag 3,eBay Status,eBay Priority,eBay Next Action
2026-06-23,A1-MD-0012,0012,A1,Stitch Beachwear tropical short-sleeve button-down shirt,Stitch Beachwear,Hawaiian / Casual Button-Down Shirt,L,Cream / navy blue / turquoise / mustard,Tropical monstera leaf and tiki print,Short sleeves; pointed collar; button-front closure; bold all-over tropical print; curved hem,100% cotton,Mauritius,Good pre-owned; final inspection required,"No obvious tears or major stains visible in supplied images. Inspect collar, buttons, underarms, side seams, and hem before listing.",,,,,$12.00,$18.00,$25.00,"No reliable exact-brand sold sample located. Estimate is based on a broader sold tropical-shirt comparable near $24.99, discounted for an obscure label and limited demand evidence. Treat as low confidence.",Unlisted,Poshmark / eBay,Men's Tops,Stitch Beachwear Men's Hawaiian Shirt L Tropical Tiki Monstera Cotton,"Stitch Beachwear men's size L 100% cotton tropical button-down shirt with navy, turquoise, and mustard monstera leaves and tiki motifs. Good pre-owned condition; inspect collar, underarms, buttons, and hem.",Tropical,Vacation,Resort,,,
2026-06-23,A1-MD-0013,0013,A1,Callaway Golf Sport short-sleeve polo shirt,Callaway Golf,Golf Polo Shirt,L,White / off-white,Solid pique knit,Short sleeves; two-button placket; embroidered sleeve logo; embroidered back-neck chevron; side hem vents,100% combed cotton,Thailand,Fair / Stained,"Visible discoloration and staining near the lower front hem and lower back hem, plus smaller surface marks. Defects must be photographed and disclosed.",,,,,$5.00,$8.00,$13.00,Callaway Golf Sport sold examples ranged from about $12.99 to $22.50 in good or excellent condition. Heavy visible staining materially reduces this example's value and buyer pool.,Unlisted,Poshmark / eBay,Men's Tops,Callaway Golf Men's Polo Shirt L White Cotton Logo Stained AS IS,"Callaway Golf Sport men's size L white 100% combed-cotton polo with sleeve logo, rear-neck chevron, and side vents. Fair condition with visible staining and discoloration near the lower front and back hems; sold as-is.",Golf,Preppy,Sporty,,,
2026-06-23,A1-MD-0014,0014,A1,Under Armour HeatGear U Golf striped performance polo,Under Armour,Performance Golf Polo Shirt,XL,White / light gray with green and yellow logo,Color-blocked with horizontal stripes,Short sleeves; collared neckline; button placket; Loose fit; HeatGear; black UA chest logo; embroidered U Golf logo; striped lower front; solid back,Not confirmed,Not confirmed,Good pre-owned; final inspection required,"No obvious holes or major stains visible in supplied images. Verify team or school identity, fabric content, collar wear, snags, and deodorant marks before listing.",,,,,$15.00,$22.00,$28.00,"Comparable Under Armour striped HeatGear golf polos in XL sold from about $18.99 to $26.99, with weaker examples as low as $5. The embroidered U Golf logo may help only after the team or school is verified.",Unlisted,Poshmark / eBay,Men's Tops,Under Armour HeatGear U Golf Men's Polo XL White Gray Striped,"Under Armour HeatGear men's size XL loose-fit golf polo with white and light-gray color blocking, horizontal stripes, black UA logo, and embroidered U Golf logo. Good pre-owned condition; verify the team or school identity and inspect for snags.",Golf,Athletic,Performance,,,
2026-06-23,A1-MD-0015,0015,A1,Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt,Abercrombie & Fitch,Casual Button-Down Shirt,S,"Dark navy / charcoal with red, cream, and muted floral print",Ditsy floral,Short sleeves; button-front closure; spread collar; Super Slim fit; stretch construction; curved hem,Not confirmed,Cambodia,Good pre-owned; final inspection required,"No obvious holes or major stains visible in supplied images. Inspect buttons, collar, underarms, side seams, and stretch fabric before listing.",,,,,$15.00,$18.00,$22.00,"Relevant Abercrombie floral short-sleeve sold examples were about $16.17, $18.19, and $19.88. Small size and Super Slim fit narrow the buyer pool, but the floral pattern remains marketable.",Unlisted,Poshmark / eBay,Men's Tops,Abercrombie & Fitch Men's Super Slim Floral Shirt S Stretch Short Sleeve,"Abercrombie & Fitch men's size S Super Slim stretch short-sleeve button-up in a dark floral print with red, cream, and muted accents. Good pre-owned condition; inspect buttons, collar, underarms, and fabric.",Floral,Slim Fit,Casual,,,
2026-06-23,A1-MD-0016,0016,A1,Wrangler Authentic Series 75 plaid short-sleeve button-down shirt,Wrangler,Casual Button-Down Shirt,Not confirmed,Cream / light khaki with muted blue and red,Plaid,Short sleeves; pointed collar; button-front closure; single chest pocket; Wrangler Authentic Series 75 label; lightweight woven construction,Not confirmed,Not confirmed,Good pre-owned; final inspection required,"Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied front, back, and label images. Size, fabric content, and country must be verified before listing.",,,,,$8.00,$12.00,$15.00,"Sold Wrangler Authentics and comparable plaid short-sleeve shirts were generally around $9.59-$14.88, with stronger western pearl-snap versions selling higher. This standard button-front example is a basic, moderate-to-slow mover unless the size is desirable.",Unlisted,Poshmark / eBay,Men's Tops,Wrangler Authentic Series 75 Men's Plaid Short Sleeve Shirt,"Wrangler Authentic Series 75 men's plaid short-sleeve button-down with a pointed collar, chest pocket, and lightweight woven construction. Size, material, and country are unconfirmed; good pre-owned condition with light wear and wrinkling.",Heritage,Casual,Plaid,,,
2026-06-23,A1-MD-0017,0017,A1,Mercedes by Carol black tonal-striped short-sleeve polo shirt,Mercedes by Carol,Polo Shirt,L,Black,Solid with subtle tonal vertical stripes,Short sleeves; collared neckline; four-button placket; single chest pocket; side hem vents; soft knit construction; vintage-style woven label,60% cotton / 40% polyester,Taiwan,Good pre-owned; final inspection required,"Light lint and normal surface wear are visible. No obvious holes, tears, or major stains are visible in the supplied images. This label is not confirmed to be associated with Mercedes-Benz automobiles and must not be marketed as Mercedes-Benz merchandise.",,,,,$7.00,$12.00,$18.00,"No reliable exact-brand sold comps were located. Valuation is based on generic vintage and obscure-label black polo demand, not Mercedes-Benz branded apparel. Treat the estimate as low confidence and price for fast turnover.",Unlisted,Poshmark / eBay,Men's Tops,Mercedes by Carol Men's Black Tonal Stripe Polo Shirt L Vintage Style,"Mercedes by Carol men's size L black polo with subtle tonal vertical stripes, four-button placket, chest pocket, and side vents. Good pre-owned condition with light lint and wear; this is not confirmed as Mercedes-Benz merchandise.",Vintage,Minimalist,Classic,,,
2026-06-23,A1-MD-0018,0018,A1,Van Heusen Wrinkle Free plaid short-sleeve button-down shirt,Van Heusen,Casual Button-Down Shirt,Not confirmed,Cream / off-white with blue and red lines,Windowpane plaid / check,Short sleeves; pointed collar; button-front closure; single chest pocket; rear center box pleat; Wrinkle Free line; lightweight woven construction,Cotton / polyester blend; exact percentages not confirmed,Not confirmed,Good pre-owned; final inspection required,"Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied images. Verify size, fabric percentages, country, buttons, underarms, collar, and hem before listing.",,,,,$8.00,$11.00,$15.00,Relevant sold Van Heusen short-sleeve plaid shirts ranged from about $7.99 to $14.99. A higher Made-in-USA vintage sale was treated as an outlier and excluded. Basic plaid Van Heusen shirts are common and should be priced for turnover.,Unlisted,Poshmark / eBay,Men's Tops,Van Heusen Wrinkle Free Men's Plaid Short Sleeve Button-Down Shirt,"Van Heusen Wrinkle Free men's cream plaid short-sleeve button-down with blue and red checks, chest pocket, and rear box pleat. Size, exact fabric percentages, and country are unconfirmed; good pre-owned condition with light wear.",Business Casual,Classic,Plaid,,,
2026-06-23,A1-MD-0019,0019,A1,Nautica nautical signal-flags front-and-back graphic T-shirt,Nautica,Graphic T-Shirt,XXL / 2XL,Royal blue,Solid with nautical signal-flag graphics,Short sleeves; crew neck; small Nautica signal-flags chest graphic; large nautical signal-flags back graphic; tagless printed label; regular fit,100% cotton,Peru,Good pre-owned with graphic wear; final inspection required,"Light cracking and wear are visible in the printed neck label and graphics, with minor surface marks or lint. No obvious holes, tears, or major stains visible in supplied images. Photograph the graphics clearly and inspect underarms and hem before listing.",,,,,$6.00,$10.00,$15.00,"Sold pre-owned Nautica men's graphic tees in comparable larger sizes ranged roughly from $5.50 to $15.00. The XXL size and front/back nautical artwork help, but visible print wear limits the upper end.",Unlisted,Poshmark / eBay,Men's Tops,Nautica Men's Nautical Signal Flag Graphic T-Shirt XXL Blue Front Back,Nautica men's XXL royal-blue 100% cotton graphic T-shirt with a small signal-flag chest design and large nautical flag artwork on the back. Good pre-owned condition with visible cracking and wear to the graphics and printed neck label.,Nautical,Coastal,Graphic,,,
2026-06-23,A1-MD-0020,0020,A1,Daniel Cremieux Signature Collection coral short-sleeve polo,Daniel Cremieux Signature Collection,Golf Polo Shirt,L,Coral / salmon,Solid pique knit,Short sleeves; ribbed polo collar; two-button placket; side hem vents,100% cotton,Philippines,Good pre-owned; final inspection required,"Visible wrinkling and light wear. No obvious holes, tears, or major stains visible. Inspect collar, underarms, placket, side vents, and hem before listing.",,,,,$10.00,$15.00,$20.00,"Corrected brand identification. Comparable sold Daniel Cremieux Signature Collection polos included $16.99 and $17.95 for pre-owned examples; new examples sold higher. The solid coral color is marketable, but this remains a common mid-tier polo, so $15 is the realistic fast-sale target.",Unlisted,Poshmark / eBay,Men's Tops,Daniel Cremieux Signature Men's Polo Shirt L Coral 100% Cotton,"Daniel Cremieux Signature Collection men's size L coral-salmon polo in 100% cotton with a ribbed collar, two-button placket, and side vents. Good pre-owned condition with light wear and wrinkling.",Preppy,Golf,Classic,,,
2026-06-23,A1-MD-0021,0021,A1,American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt,American Eagle Outfitters,Flannel Button-Down Shirt,S,"Dark green, navy/black, cream, and mustard yellow",Tartan plaid with herringbone accent weave,Long sleeves; pointed collar; full button front; two button-flap chest pockets; curved shirttail hem; soft flannel construction; Slim Fit / Ahh-Mazingly Soft line,Not confirmed,Indonesia,Good pre-owned; final inspection required,"Full front and back photos now supplied. Visible wrinkling and light general wear; no obvious holes, tears, missing buttons, or major stains visible. Department appears to be women's based on the line and two-pocket cut; verify measurements before listing. Material remains unconfirmed until the care tag is photographed.",,,,,$8.00,$12.00,$15.00,"Comparable sold American Eagle Ahh-Mazingly Soft plaid flannels in small and nearby sizes sold around $7.49, $9.28, $12.99, and $15.00. This green plaid two-pocket version is marketable but still a common mall-brand flannel; $12 is the realistic fast-sale target.",Unlisted,Poshmark / eBay,Women's Tops,American Eagle Women's Ahh-Mazingly Soft Plaid Flannel Shirt S Green,"American Eagle Outfitters women's size S Ahh-Mazingly Soft slim-fit flannel in dark green, navy, cream, and mustard plaid with two button-flap chest pockets. Good pre-owned condition with light wear and wrinkling; material remains unconfirmed.",Casual,Cozy,Plaid,,,
2026-06-24,A1-MD-0022,0022,A1,Paper Crane ribbed cropped cardigan and camisole twinset,Paper Crane,Cardigan & Tank Top Set / Twinset,M,Rust / burnt orange / terracotta,Solid ribbed knit,Long sleeves; deep V neckline; four-button front; cropped hem; matching ribbed camisole or tank appears included; fitted stretch silhouette,Not confirmed,Vietnam,Good pre-owned; final inspection required,"No obvious holes, tears, or major stains visible in the supplied photos. Light wrinkling is present. Verify the matching camisole is a separate included piece, photograph both pieces individually, and confirm the material and care tag before listing.",,,,,$12.00,$18.00,$24.00,"Low-confidence estimate. Exact Paper Crane sold evidence was limited; one used Paper Crane cropped top was listed near $11.99 and a Paper Crane cardigan near $28, while a comparable rust ribbed cardigan-and-tank set sold near $24. The complete matching set supports a realistic fast-sale target around $18.",Unlisted,Poshmark / eBay,Women's Tops,Paper Crane Women's Ribbed Cropped Cardigan Tank Set M Rust Orange,Paper Crane women's size M rust-burnt-orange ribbed twinset featuring a cropped long-sleeve V-neck button cardigan with a matching fitted camisole or tank. Good pre-owned condition with light wrinkling; verify both pieces are included and confirm material before publishing.,Y2K,Cropped,Ribbed,,,
2026-06-24,A1-MD-0023,0023,A1,IZOD New England Oxford striped short-sleeve button-down shirt,IZOD,Casual / Dress Button-Down Shirt,18 1/2 / L,Light blue and white,Vertical stripes,Short sleeves; pointed collar; button-front closure; single chest pocket; rear center box pleat; Easy Care; New England Oxford line,74% cotton / 26% polyester,Bangladesh,Good pre-owned; final inspection required,"Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied images. Inspect the collar for yellowing, underarms, buttons, pocket, seams, and hem before listing.",,,,,$7.00,$12.00,$19.00,"Relevant sold evidence was mixed: a stronger IZOD Saltwater striped Oxford sold around $18.87, while a standard striped IZOD Oxford ended at $6.99 without bids. This basic short-sleeve 18.5/L example should be priced for turnover, with about $12 as the realistic target.",Unlisted,Poshmark / eBay,Men's Tops,IZOD Men's New England Oxford Striped Short Sleeve Shirt 18.5 Large,"IZOD men's New England Oxford short-sleeve button-down in size 18 1/2 Large with light-blue and white vertical stripes, chest pocket, Easy Care construction, and a cotton-polyester blend. Good pre-owned condition with light wrinkling; inspect collar, underarms, buttons, and hem.",Preppy,Business Casual,Classic,,,
2026-06-24,A1-MD-0024,0024,A1,Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt,Tommy Hilfiger,Casual / Dress Button-Down Shirt,L / 16 1/2-17,Navy with light blue and red,Windowpane plaid / check,Long sleeves; button-down collar; full button front; single chest pocket with flag logo; curved shirttail hem; Custom Fit; 80s 2-ply fabric label,Not confirmed,Mauritius,Good pre-owned; final inspection required,"Visible wrinkling and light general wear. No obvious holes, tears, missing buttons, or major stains visible in supplied photos. Approximate photographed measurements appear near 21-22 in pit to pit, 30 in length, and 25-26 in sleeve; verify before listing. Confirm material from care tag.",,,,,$8.00,$12.00,$18.00,"Recent sold Tommy Hilfiger plaid long-sleeve shirts showed a broad low-to-mid market, including sales around $4 and $12, while similar active Custom Fit examples were commonly listed around $16-$18. The recognizable brand, size L, navy plaid, and chest flag help, but standard Tommy woven shirts remain competitive; about $12-$15 is the realistic turnover range.",Unlisted,Poshmark / eBay,Men's Tops,Tommy Hilfiger Men's Custom Fit Plaid Shirt L 16.5-17 Navy Long Sleeve,"Tommy Hilfiger men's L 16.5-17 Custom Fit long-sleeve button-down in navy windowpane plaid with light-blue and red lines, button-down collar, chest pocket, and embroidered flag. Good pre-owned condition with light wear and wrinkling; material remains unconfirmed.",Preppy,Classic,Plaid,,,
2026-06-24,A1-MD-0025,0025,A1,Under Armour ColdGear heather quarter-zip fleece pullover,Under Armour,Athletic Quarter-Zip Pullover,XL,Heathered blue-gray / teal with black trim,Heathered solid,"Long sleeves; quarter-zip front; mock neck; black Under Armour chest logo; black trim at collar, cuffs, and hem; brushed ColdGear interior; Loose fit",Not confirmed,Not confirmed,Good pre-owned; final inspection required,"No obvious holes, tears, major stains, or logo damage visible in supplied photos. Light general wear and surface wrinkling may be present. Inspect zipper, cuffs, underarms, hem, fleece interior, and logo before listing. Confirm fabric percentages from the care tag.",,,,,$14.00,$20.00,$28.00,"Comparable sold Under Armour ColdGear Loose quarter-zips included roughly $13.99, $17.95, $19, $19.99, $22.99, and $27.87. Size XL, ColdGear branding, brushed interior, and the heathered teal color support a realistic sold target around $20-$23 if condition is clean.",Unlisted,Poshmark / eBay,Men's Tops,Under Armour Men's XL ColdGear Loose Quarter Zip Pullover Heather Teal,"Under Armour men's XL ColdGear Loose quarter-zip pullover in a heathered blue-gray teal color with black trim, chest logo, mock neck, and brushed interior. Good pre-owned condition; inspect zipper, cuffs, underarms, hem, and fleece before publishing.",Athleisure,Cold Weather,Performance,,,
2026-06-24,A1-MD-0026,0026,A1,J.Crew red and blue gingham long-sleeve button-down shirt,J.Crew,Casual Button-Down Shirt,L,"Red, bright blue, and burgundy",Gingham check,Long sleeves; button-down collar; full button front; chest pocket; button cuffs; curved shirttail hem,100% cotton,Mauritius,Good pre-owned; final inspection required,"Visible wrinkling and light general wear. No obvious holes, tears, missing buttons, or major stains visible. Verify measurements, cuffs, collar, underarms, pocket, seams, and hem before listing.",,,,,$8.00,$14.00,$20.00,Relevant sold J.Crew men's large gingham and plaid shirts ranged from about $7.19 for a standard plaid Oxford to $24.99 for a stronger gingham popover. This standard 100% cotton shirt should realistically target about $12-$16.,Unlisted,Poshmark / eBay,Men's Tops,J.Crew Men's L Red Blue Gingham Cotton Long Sleeve Button Down Shirt,"J.Crew men's size L long-sleeve button-down in red, bright-blue, and burgundy gingham check. Made from 100% cotton in Mauritius with a button-down collar, chest pocket, button cuffs, and curved hem. Good pre-owned condition with light wear and wrinkling.",Preppy,Gingham,Classic,,,
2026-06-24,A1-MD-0027,0027,A1,Under Armour white gray and orange mesh racerback athletic tank top,Under Armour,Athletic Racerback Tank Top,Not confirmed,White / light gray with bright orange colorblock,Heathered mesh stripe with colorblock panel,Sleeveless; scoop neckline; racerback; Under Armour logo at upper back; breathable semi-sheer mesh construction; bright orange horizontal colorblock panel,Not confirmed,Not confirmed,Good pre-owned; final inspection required,"No obvious holes, tears, or major stains visible. Inspect for marks, snags, pilling, stretching, underarm wear, and discoloration. Size, material, technology line, and country remain unconfirmed until the care tag is photographed.",,,,,$6.00,$10.00,$15.00,"Comparable pre-owned Under Armour women's racerback tanks sold around $13.95, while new examples sold around $15.29-$19.99. Because this item's exact size and model are unconfirmed and it is pre-owned, a realistic turnover target is about $9-$12.",Unlisted,Poshmark / eBay,Women's Tops,Under Armour Women's White Orange Mesh Racerback Athletic Tank Top,"Under Armour women's white and light-gray mesh racerback athletic tank with a bright-orange horizontal colorblock panel and logo at the upper back. Good pre-owned condition; size, fabric, technology line, and country must be confirmed before publishing.",Athleisure,Racerback,Colorblock,,,
2026-06-24,A1-MD-0028,0028,A1,Ariat coral desert landscape agave graphic short-sleeve T-shirt,Ariat,Graphic T-Shirt,M,Coral / salmon / peach,Desert landscape and agave graphic,"Short sleeves; crew neck; large front desert landscape graphic with sun, layered hills, agave plant, and ARIAT wordmark; fitted women's silhouette; tagless printed label",Cotton / polyester blend; exact percentages not confirmed,El Salvador,Good pre-owned with graphic wear; final inspection required,"Visible fading and cracking within the distressed front graphic, plus light general wear and wrinkling. A small dark surface mark may be present near the neckline. No obvious holes or major stains visible. Inspect collar, underarms, graphic, seams, and hem before listing.",,,,,$8.00,$13.00,$18.00,"Comparable sold Ariat graphic tees showed a wide range: a flawed women's medium sold near $4.99, cleaner western graphic examples sold around $15-$17, and a women's medium long-sleeve example sold higher near $21.84. Visible print wear supports a realistic target around $12-$15.",Unlisted,Poshmark / eBay,Women's Tops,Ariat Women's M Coral Desert Agave Graphic T-Shirt Western Ranchwear,"Ariat women's size M coral-salmon short-sleeve graphic T-shirt featuring a distressed desert landscape with sun, layered hills, agave plant, and ARIAT wordmark. Made in El Salvador. Good pre-owned condition with visible graphic wear and light general wear.",Western,Ranchwear,Graphic,,,
